Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,20
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16
1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9
2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,19
2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,14
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,11
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10
2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11
2,1.0,1.0,2.0,1.0,1.0,2.0,1.0,11
1,2.0,1.0,1.0,1.0,1.0,2.0,1.0,12
1,2.0,2.0,2.0,1.0,1.0,1.0,2.0,15
1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,11
