sepal_length,sepal_width,petal_length,petal_width,class
0.0,2.0,0.0,0.0,Iris-setosa
0.0,1.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,1.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
1.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,1.0,0.0,0.0,Iris-setosa
0.0,1.0,0.0,0.0,Iris-setosa
1.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,1.0,0.0,0.0,Iris-setosa
0.0,1.0,0.0,0.0,Iris-setosa
1.0,2.0,0.0,0.0,Iris-setosa
1.0,2.0,0.0,0.0,Iris-setosa
1.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
1.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
1.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,1.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,1.0,0.0,0.0,Iris-setosa
1.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
1.0,2.0,0.0,0.0,Iris-setosa
0.0,1.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
1.0,2.0,0.0,0.0,Iris-setosa
0.0,1.0,0.0,0.0,Iris-setosa
0.0,1.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,0.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,1.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
0.0,2.0,0.0,0.0,Iris-setosa
2.0,2.0,1.0,1.0,Iris-versicolor
2.0,2.0,1.0,1.0,Iris-versicolor
2.0,1.0,2.0,1.0,Iris-versicolor
1.0,0.0,1.0,1.0,Iris-versicolor
2.0,0.0,1.0,1.0,Iris-versicolor
1.0,0.0,1.0,1.0,Iris-versicolor
2.0,2.0,1.0,2.0,Iris-versicolor
0.0,0.0,1.0,1.0,Iris-versicolor
2.0,1.0,1.0,1.0,Iris-versicolor
0.0,0.0,1.0,1.0,Iris-versicolor
0.0,0.0,1.0,1.0,Iris-versicolor
1.0,1.0,1.0,1.0,Iris-versicolor
